ClinicId,Name,Npi,Address,City,State,Zip,Lat,Lon,Phone
86bc61ed-4a20-353b-a138-b1bbe58ff272,INTERNAL MEDICINE ASSOCIATES PLC,1199018817,9063 POINT CYPRESS DR,ORLANDO,FL,328365475,28.5421109,-81.3790304,3212140028
256d011b-bb04-3a20-8e50-df127b38c344,STANLEY C MYERS COMMUNITY HEALTH CTR,1646050470,710 ALTON RD,MIAMI BEACH,FL,331395504,25.7772236,-80.1412172,3055388835
843b023d-c5ed-3835-8c34-d4eb36ef8d4d,WEST GABLES OPERATOR LLC,1482701046,2525 SW 75TH AVE,MIAMI,FL,331552800,25.7468683,-80.31648450183764,3052626800
2012392b-858c-31d0-bb04-4b76bc19edc4,ONE HEALTHCARE SOLUTION INC,2984640997,10443 NW 29TH CT,MIAMI,FL,331471149,25.869733150000002,-80.24570450170756,3053104742
05f266aa-b9d3-3a50-bf84-e274bc40c159,INTERCARE HOME HEALTH SERVICES INC,2486390034,10300 SUNSET DR  STE 460  UNIT 6,MIAMI,FL,33173,25.804427,-80.1451234,3055963549
444d9ea6-1ec0-37fe-982a-2e726791aafa,SUN HEALTH CARE INC,2956925137,3990 WEST FLAGLER STREET,CORAL GABLES,FL,331341644,25.72149,-80.2683838,3054563879
fc37ce82-86cd-3e3c-9e45-a149e9f5df92,ECONOMIC OPPORTUNITY HIALEAH CENTER,1670796196,490 E HIALEAH DRIVE,HIALEAH,FL,330103766,25.8226719,-80.2802223,3058870101
79feede5-d0d7-3d41-bf7c-87b28ae39aa0,MIAMI JEWISH HEALTH SYSTEMS  INC,2381433707,5200 NE 2ND AVENUE,MIAMI,FL,331372706,25.8237323,-80.19296,3057518626
d497efae-7135-3219-a793-cb966b8015dd,STEWARD HH  INC.,1195765973,651 E 25TH ST,HIALEAH,FL,330123814,25.845535650000002,-80.26862207729306,3056936100
ea482524-7a76-309d-b50f-08b0c5c33bee,STEWARD HH  INC.,1448532816,651 E 25TH ST,HIALEAH,FL,330123814,25.845535650000002,-80.26862207729306,3056936100
